Date,Open,High,Low,Close,Volume
2023-10-24,109.81517790013363,112.23894095258649,109.6566955868476,111.37197875976562,2216500
2023-10-25,110.55160797609588,111.46518374366984,108.30496875811733,109.03209686279297,2110900
2023-10-26,109.48887602084412,113.69317638336422,108.81768580285434,112.73299407958984,3289500
2023-10-27,113.30166152855222,117.93478142210864,111.99655623128605,114.05675506591797,3383600
2023-10-30,115.33389676249509,116.7974772744043,113.15250512554178,113.80506134033203,1876400
2023-10-31,114.83049508471048,116.30339971245252,113.52538980838528,115.93051147460938,1821700
2023-11-01,115.99576031321958,117.95341456914538,115.05421916218933,117.8974838256836,1748400
2023-11-02,119.77123810758854,122.76366098460096,119.42632236387009,121.41194915771484,2169500
2023-11-03,123.63061644061752,126.46456414255591,123.14587383264353,123.91960144042969,2339400
2023-11-06,123.34164393394546,123.35097520875736,119.08141201241115,120.71279907226562,1959300
2023-11-07,120.72208893865992,120.73140598686955,119.24918452497785,119.30512237548828,1708800
2023-11-08,119.28648653519087,120.16276567936438,118.64325452890021,119.74327087402344,965000
2023-11-09,120.03226427279341,120.72211002231363,118.52207717802338,118.96022033691406,944800
2023-11-10,119.56615012772833,120.4144710316775,117.66443366152099,120.02294158935547,1571000
2023-11-13,119.21191112182211,120.10683861629487,118.27037704324489,118.99750518798828,869300
2023-11-14,123.2111125419621,126.28743132104856,122.40940539619413,125.19673919677734,2123700
2023-11-15,125.01962607738912,126.88406013164919,124.73064107489928,125.4764175415039,1726500
2023-11-16,126.0823707773007,127.29425592911845,125.24338102385263,125.98914337158203,1458800
2023-11-17,126.80948895783445,126.82813728239894,124.5814906932562,125.41116333007812,1542700
2023-11-20,125.1035118775175,126.7162432185749,124.05011639640577,126.6323471069336,1319300
2023-11-21,126.52982808364868,127.93748506488585,126.10101616614286,126.97730255126953,1238800
2023-11-22,128.2450900959406,128.64593654873028,126.98659154859807,127.55524444580078,1397000
2023-11-24,126.80945369457118,127.71370515369235,126.29673159540454,127.24759674072266,585900
2023-11-27,127.55525449606829,128.52475392244895,126.95863618187188,128.1332244873047,1303700
2023-11-28,127.50862954894848,128.3849157322067,127.24760994855258,127.62049102783203,1826100
2023-11-29,128.63660936888036,129.51288126690613,127.90015008526777,128.83236694335938,1878700
2023-11-30,128.49679111450527,129.57816627572296,127.59253946368568,129.37307739257812,4633400
2023-12-01,128.012045931917,129.904445313775,126.5950721017047,129.214599609375,2457300
2023-12-04,128.34763872576394,128.72053408659485,126.74423845995346,128.43154907226562,2163800
2023-12-05,128.23575257205752,129.5315334747167,127.70439634373727,129.2798309326172,1787300
2023-12-06,129.16799074837542,129.76460908481928,126.12896831969304,126.29676055908203,2497300
2023-12-07,126.21287659509137,126.58575775709271,124.59081366892603,124.94506072998047,2913800
2023-12-08,127.07980618730063,127.94676101890366,123.90094335575604,125.67214965820312,2857400
